ASTL	Algoma Steel Group Inc.	Steel	481.65M
ASTS	AST SpaceMobile, Inc.	Communication Equipment	29.82B
ASUR	Asure Software, Inc.	Software - Application	259.33M
ASX	ASE Technology Holding Co., Ltd.	Semiconductors	54.06B
ASYS	Amtech Systems, Inc.	Semiconductor Equipment & Materials	188.00M
ATAI	AtaiBeckley Inc.	Biotechnology	1.32B
ATAT	Atour Lifestyle Holdings Limited	Lodging	5.40B
ATCH	AtlasClear Holdings, Inc.	Capital Markets	35.48M
ATCX	Atlas Critical Minerals Corporation	Engineering & Construction	31.53M
ATEC	Alphatec Holdings, Inc.	Medical Devices	2.06B
ATEN	A10 Networks, Inc.	Software - Infrastructure	1.38B
ATER	Aterian, Inc.	Furnishings, Fixtures & Appliances	4.61M
ATEX	Anterix Inc.	Telecom Services	691.43M
ATGL	Alpha Technology Group Limited	Software - Infrastructure	280.36M
ATHE	Alterity Therapeutics Limited	Biotechnology	61.98M
ATHM	Autohome Inc.	Internet Content & Information	2.24B
ATHR	Aether Holdings, Inc.	Software - Application	43.48M
ATI	ATI Inc.	Metal Fabrication	22.40B
ATII	Archimedes Tech SPAC Partners II Co.	Shell Companies	323.42M
ATKR	Atkore Inc.	Electrical Equipment & Parts	2.18B
ATLC	Atlanticus Holdings Corporation	Credit Services	792.05M
ATLN	Atlantic International Corp.	Staffing & Employment Services	235.90M
ATLO	Ames National Corporation	Banks - Regional	240.18M
ATLX	Atlas Lithium Corporation	Other Industrial Metals & Mining	140.47M
ATMU	Atmus Filtration Technologies Inc.	Auto Parts	5.26B
ATNI	ATN International, Inc.	Telecom Services	431.45M
ATNM	Actinium Pharmaceuticals, Inc.	Biotechnology	36.81M
ATO	Atmos Energy Corporation	Utilities - Regulated Gas	30.90B
ATOM	Atomera Incorporated	Semiconductor Equipment & Materials	195.03M
ATON	AlphaTON Capital Corp.	Asset Management	9.61M
ATOS	Atossa Therapeutics, Inc.	Biotechnology	38.15M
ATPC	Agape ATP Corporation	Packaged Foods	1.92M
ATR	AptarGroup, Inc.	Medical Instruments & Supplies	9.25B
ATRA	Atara Biotherapeutics, Inc.	Biotechnology	39.08M
ATRC	AtriCure, Inc.	Medical Instruments & Supplies	1.56B
ATRO	Astronics Corporation	Aerospace & Defense	2.87B
ATS	ATS Corporation	Specialty Industrial Machinery	3.13B
ATXG	Addentax Group Corp.	Integrated Freight & Logistics	3.96M
ATYR	aTyr Pharma, Inc.	Biotechnology	93.73M
AU	AngloGold Ashanti plc	Gold	64.53B
AUB	Atlantic Union Bankshares Corporation	Banks - Regional	5.25B
AUBN	Auburn National Bancorporation, Inc.	Banks - Regional	84.20M
AUDC	AudioCodes Ltd.	Communication Equipment	191.40M
AUGO	Aura Minerals Inc.	Gold	7.05B
AUID	authID Inc.	Software - Infrastructure	25.02M
AUNA	Auna S.A.	Medical Care Facilities	395.23M
AUPH	Aurinia Pharmaceuticals Inc.	Biotechnology	1.88B
AUR	Aurora Innovation, Inc.	Information Technology Services	9.12B
AURA	Aura Biosciences, Inc.	Biotechnology	374.03M
AURE	Aurelion Inc.	Capital Markets	56.05M
AUST	Austin Gold Corp.	Gold	27.93M
AUTL	Autolus Therapeutics plc	Biotechnology	455.11M
AUUD	Auddia Inc.	Software - Application	2.61M
AVA	Avista Corporation	Utilities - Diversified	3.34B
AVAH	Aveanna Healthcare Holdings Inc.	Medical Care Facilities	1.54B
AVAL	Grupo Aval Acciones y Valores S.A.	Banks - Regional	5.05B
AVAV	AeroVironment, Inc.	Aerospace & Defense	12.54B
AVB	AvalonBay Communities, Inc.	REIT - Residential	24.80B
AVBC	Avidia Bancorp, Inc.	Banks - Regional	376.03M
AVBH	Avidbank Holdings, Inc.	Banks - Regional	316.18M
AVBP	ArriVent BioPharma, Inc.	Biotechnology	948.23M
AVD	American Vanguard Corporation	Agricultural Inputs	131.24M
AVGO	Broadcom Inc.	Semiconductors	1.52T
AVIR	Atea Pharmaceuticals, Inc.	Biotechnology	365.63M
AVNS	Avanos Medical, Inc.	Medical Devices	655.70M
AVNT	Avient Corporation	Specialty Chemicals	3.76B
AVNW	Aviat Networks, Inc.	Communication Equipment	323.07M
AVO	Mission Produce, Inc.	Food Distribution	1.01B
AVPT	AvePoint, Inc.	Software - Infrastructure	2.32B
AVR	Anteris Technologies Global Corp.	Medical Instruments & Supplies	609.56M
AVT	Avnet, Inc.	Electronics & Computer Distribution	5.39B
AVTR	Avantor, Inc.	Medical Instruments & Supplies	6.17B
AVTX	Avalo Therapeutics, Inc.	Biotechnology	323.97M
AVX	Avax One Technology Ltd.	Asset Management	69.41M
AVXL	Anavex Life Sciences Corp.	Biotechnology	410.54M
AVY	Avery Dennison Corporation	Packaging & Containers	15.09B
AWI	Armstrong World Industries, Inc.	Building Products & Equipment	7.43B
AWK	American Water Works Company, Inc.	Utilities - Regulated Water	26.55B
AWR	American States Water Company	Utilities - Regulated Water	2.91B
AWRE	Aware, Inc.	Software - Application	35.05M
AWX	Avalon Holdings Corporation	Waste Management	10.14M
AX	Axos Financial, Inc.	Banks - Regional	4.92B
AXG	Solowin Holdings	Capital Markets	702.91M
AXGN	Axogen, Inc.	Medical Devices	1.65B
AXIA	AXIA Energia SA	Utilities - Renewable	34.13B
AXIL	AXIL Brands, Inc.	Consumer Electronics	46.22M
AXIN	Axiom Intelligence Acquisition Corp 1	Shell Companies	275.86M
AXON	Axon Enterprise, Inc.	Aerospace & Defense	43.51B
AXP	American Express Company	Credit Services	212.10B
AXR	AMREP Corporation	Real Estate - Development	133.15M
AXS	AXIS Capital Holdings Limited	Insurance - Specialty	7.84B
AXSM	Axsome Therapeutics, Inc.	Biotechnology	8.38B
AXTA	Axalta Coating Systems Ltd.	Specialty Chemicals	7.13B
AXTI	AXT, Inc.	Semiconductor Equipment & Materials	2.02B
AYI	Acuity Inc.	Electrical Equipment & Parts	9.19B
AYTU	Aytu BioPharma, Inc.	Drug Manufacturers - Specialty & Generic	27.58M
AZ	A2Z Cust2Mate Solutions Corp.	Software - Application	223.99M
AZI	Autozi Internet Technology (Global) Ltd.	Auto & Truck Dealerships	14.07M
AZN	AstraZeneca PLC	Drug Manufacturers - General	324.42B
AZO	AutoZone, Inc.	Auto Parts	62.22B
AZTA	Azenta, Inc.	Medical Instruments & Supplies	1.24B
AZTR	Azitra, Inc.	Biotechnology	1.88M
AZZ	AZZ Inc.	Specialty Business Services	4.06B
B	Barrick Mining Corporation	Gold	85.03B
BA	The Boeing Company	Aerospace & Defense	178.69B
BABA	Alibaba Group Holding Limited	Internet Retail	322.15B
BAC	Bank of America Corporation	Banks - Diversified	357.61B
BACC	Blue Acquisition Corp.	Shell Companies	285.07M
BACQ	Inflection Point Acquisition Corp. IV	Shell Companies	354.46M
BAER	Bridger Aerospace Group Holdings, Inc.	Security & Protection Services	134.97M
BAFN	BayFirst Financial Corp.	Banks - Regional	27.20M
BAH	Booz Allen Hamilton Holding Corporation	Consulting Services	9.51B
BAK	Braskem S.A.	Chemicals	1.44B
BALL	Ball Corporation	Packaging & Containers	17.86B
BALY	Bally's Corporation	Resorts & Casinos	699.09M
BAM	Brookfield Asset Management Ltd.	Asset Management	75.31B
BANC	Banc of California, Inc.	Banks - Regional	2.87B
BAND	Bandwidth Inc.	Software - Infrastructure	465.15M
BANF	BancFirst Corporation	Banks - Regional	3.69B
BANL	CBL International Limited	Oil & Gas Midstream	12.42M
BANR	Banner Corporation	Banks - Regional	2.01B
BAOS	Baosheng Media Group Holdings Limited	Advertising Agencies	4.19M
BAP	Credicorp Ltd.	Banks - Regional	27.51B
BARK	BARK, Inc.	Specialty Retail	135.03M
BATL	Battalion Oil Corporation	Oil & Gas Exploration & Production	90.84M
BATRA	Atlanta Braves Holdings, Inc.	Entertainment	2.57B
BATRK	Atlanta Braves Holdings, Inc.	Entertainment	2.75B
BAX	Baxter International Inc.	Medical Instruments & Supplies	10.48B
BAYA	Bayview Acquisition Corp	Shell Companies	41.08M
BB	BlackBerry Limited	Software - Infrastructure	2.00B
BBAI	BigBear.ai Holdings, Inc.	Information Technology Services	1.73B
BBAR	Banco BBVA Argentina S.A.	Banks - Regional	3.16B
BBBY	Bed Bath & Beyond, Inc.	Specialty Retail	367.82M
BBCP	Concrete Pumping Holdings, Inc.	Engineering & Construction	340.77M
BBCQ	Bleichroeder Acquisition Corp. II	Shell Companies	367.87M
BBD	Banco Bradesco S.A.	Banks - Regional	40.73B
BBDC	Barings BDC, Inc.	Asset Management	883.73M
BBDO	Banco Bradesco S.A.	Banks - Regional	40.73B
BBGI	Beasley Broadcast Group, Inc.	Broadcasting	7.36M
BBIO	BridgeBio Pharma, Inc.	Biotechnology	12.89B
BBLG	Bone Biologics Corporation	Biotechnology	2.07M
BBNX	Beta Bionics, Inc.	Medical Devices	560.55M
BBOT	BridgeBio Oncology Therapeutics, Inc.	Biotechnology	802.29M
BBSI	Barrett Business Services, Inc.	Staffing & Employment Services	711.60M
BBT	Beacon Financial Corporation	Banks - Regional	2.50B
BBU	Brookfield Business Partners L.P.	Conglomerates	7.17B
BBUC	Brookfield Business Corporation	Asset Management	2.41B
BBVA	Banco Bilbao Vizcaya Argentaria, S.A.	Banks - Diversified	131.68B
BBW	Build-A-Bear Workshop, Inc.	Specialty Retail	617.48M
BBWI	Bath & Body Works, Inc.	Specialty Retail	4.66B
BBY	Best Buy Co., Inc.	Specialty Retail	12.98B
BC	Brunswick Corporation	Recreational Vehicles	5.16B
BCAB	BioAtla, Inc.	Biotechnology	18.37M
BCAL	California BanCorp	Banks - Regional	593.58M
BCAR	D. Boral ARC Acquisition I Corp.	Shell Companies	415.50M
BCAX	Bicara Therapeutics Inc.	Biotechnology	1.06B
BCBP	BCB Bancorp, Inc.	Banks - Regional	137.83M
BCC	Boise Cascade Company	Lumber & Wood Production	2.99B
BCDA	BioCardia, Inc.	Biotechnology	13.69M
BCE	BCE Inc.	Telecom Services	24.51B
BCG	Binah Capital Group, Inc.	Asset Management	35.70M
BCH	Banco de Chile	Banks - Regional	20.84B
BCHT	Birchtech Corp.	Pollution & Treatment Controls	60.67M
BCIC	BCP Investment Corp.	Asset Management	147.16M
BCML	BayCom Corp	Banks - Regional	317.93M
BCO	The Brink's Company	Security & Protection Services	4.85B
BCPC	Balchem Corporation	Specialty Chemicals	5.81B
BCRX	BioCryst Pharmaceuticals, Inc.	Drug Manufacturers - Specialty & Generic	2.19B
BCS	Barclays PLC	Banks - Diversified	83.97B
BCSF	Bain Capital Specialty Finance, Inc.	Asset Management	837.45M
BCSS	Bain Capital GSS Investment Corp.	Shell Companies	593.34M
BCTX	BriaCell Therapeutics Corp.	Biotechnology	27.70M
BCYC	Bicycle Therapeutics plc	Biotechnology	397.48M
BDC	Belden Inc.	Communication Equipment	5.55B
BDCI	BTC Development Corp.	Shell Companies	337.48M
BDL	Flanigan's Enterprises, Inc.	Restaurants	59.94M
BDMD	Baird Medical Investment Holdings Limited	Medical Devices	109.44M
BDN	Brandywine Realty Trust	REIT - Office	555.79M
BDRX	Biodexa Pharmaceuticals Plc	Biotechnology	905.89K
BDSX	Biodesix, Inc.	Diagnostics & Research	121.96M
BDTX	Black Diamond Therapeutics, Inc.	Biotechnology	140.73M
BDX	Becton, Dickinson and Company	Medical Instruments & Supplies	50.25B
BE	Bloom Energy Corporation	Electrical Equipment & Parts	43.67B
BEAG	Bold Eagle Acquisition Corp.	Shell Companies	329.47M
BEAM	Beam Therapeutics Inc.	Biotechnology	2.83B
BEAT	HeartBeam, Inc.	Health Information Services	60.58M
BEBE	TGE Value Creative Solutions Corp	Shell Companies	198.00M
BEEM	Beam Global	Solar	31.02M
BEEP	Mobile Infrastructure Corporation	Infrastructure Operations	128.59M
BEKE	KE Holdings Inc.	Real Estate Services	19.05B
BELFA	Bel Fuse Inc.	Electronic Components	2.68B
BELFB	Bel Fuse Inc.	Electronic Components	2.42B
BEN	Franklin Resources, Inc.	Asset Management	13.82B
BENF	Beneficient	Asset Management	66.24M
BEP	Brookfield Renewable Partners L.P.	Utilities - Renewable	20.65B
BEPC	Brookfield Renewable Corporation	Utilities - Renewable	14.50B
BESS	Bimergen Energy Corporation	Utilities - Renewable	27.54M
BETA	BETA Technologies, Inc.	Aerospace & Defense	4.31B
BETR	Better Home & Finance Holding Company	Mortgage Finance	516.42M
BF.A	Brown-Forman Corporation	Beverages - Wineries & Distilleries	13.37B
BF.B	Brown-Forman Corporation	Beverages - Wineries & Distilleries	13.37B
BFAM	Bright Horizons Family Solutions Inc.	Personal Services	4.21B
BFC	Bank First Corporation	Banks - Regional	1.51B
BFH	Bread Financial Holdings, Inc.	Credit Services	3.06B
BFLY	Butterfly Network, Inc.	Medical Devices	961.69M
BFRG	Bullfrog AI Holdings, Inc.	Health Information Services	6.61M
BFRI	Biofrontera Inc.	Drug Manufacturers - Specialty & Generic	10.62M
BFS	Saul Centers, Inc.	REIT - Retail	1.18B
BFST	Business First Bancshares, Inc.	Banks - Regional	893.00M
BG	Bunge Global SA	Farm Products	23.35B
BGC	BGC Group, Inc.	Capital Markets	4.50B
BGI	Birks Group Inc.	Luxury Goods	14.32M
BGIN	Bgin Blockchain Limited	Computer Hardware	306.60M
BGL	Blue Gold Limited	Gold	67.84M
BGLC	BioNexus Gene Lab Corp.	Specialty Chemicals	6.44M
BGM	BGM Group Ltd.	Drug Manufacturers - Specialty & Generic	204.20M
BGMS	Bio Green Med Solution, Inc.	Biotechnology	4.80M
BGS	B&G Foods, Inc.	Packaged Foods	424.68M
BGSF	BGSF, Inc.	Staffing & Employment Services	68.09M
BGSI	Boyd Group Services Inc.	Auto & Truck Dealerships	4.86B
BH	Biglari Holdings Inc.	Restaurants	1.21B
BH.A	Biglari Holdings Inc.	Restaurants	1.23B
BHAT	Blue Hat Interactive Entertainment Technology	Electronic Gaming & Multimedia	2.60M
BHB	Bar Harbor Bankshares	Banks - Regional	538.81M
BHC	Bausch Health Companies Inc.	Drug Manufacturers - Specialty & Generic	2.20B
BHE	Benchmark Electronics, Inc.	Electronic Components	2.06B
BHF	Brighthouse Financial, Inc.	Insurance - Life	3.43B
BHM	Bluerock Homes Trust, Inc.	REIT - Residential	133.45M
BHP	BHP Group Limited	Other Industrial Metals & Mining	211.30B
BHR	Braemar Hotels & Resorts Inc.	REIT - Hotel & Motel	213.22M
BHRB	Burke & Herbert Financial Services Corp.	Banks - Regional	968.79M
BHST	BioHarvest Sciences Inc.	Packaged Foods	106.70M
BHVN	Biohaven Ltd.	Biotechnology	1.53B
BIAF	bioAffinity Technologies, Inc.	Diagnostics & Research	4.76M
BIDU	Baidu, Inc.	Internet Content & Information	42.78B
BIIB	Biogen Inc.	Drug Manufacturers - General	28.15B
BIII	Black Spade Acquisition III Co	Shell Companies	227.70M
BILI	Bilibili Inc.	Internet Content & Information	11.57B
BILL	BILL Holdings, Inc.	Software - Application	4.40B
BIO	Bio-Rad Laboratories, Inc.	Medical Devices	7.52B
BIO.B	Bio-Rad Laboratories, Inc.	Medical Devices	7.47B
BIOA	BioAge Labs, Inc.	Drug Manufacturers - Specialty & Generic	929.83M
BIOX	Bioceres Crop Solutions Corp.	Agricultural Inputs	35.55M
BIP	Brookfield Infrastructure Partners L.P.	Utilities - Diversified	18.22B
BIPC	Brookfield Infrastructure Corporation	Utilities - Regulated Gas	5.94B
BIRD	Allbirds, Inc.	Apparel Retail	23.37M
BIRK	Birkenstock Holding plc	Footwear & Accessories	7.66B
BITF	Bitfarms Ltd.	Capital Markets	1.33B
BIVI	BioVie Inc.	Biotechnology	10.41M
BIXI	Bitcoin Infrastructure Acquisition Corp Ltd.	Shell Companies	298.32M
BIYA	Baiya International Group Inc.	Software - Application	1.97M
BJ	BJ's Wholesale Club Holdings, Inc.	Discount Stores	12.93B
BJDX	Bluejay Diagnostics, Inc.	Medical Devices	1.98M
BJRI	BJ's Restaurants, Inc.	Restaurants	802.91M
BK	The Bank of New York Mellon Corporation	Banks - Diversified	81.81B
BKD	Brookdale Senior Living Inc.	Medical Care Facilities	3.64B
BKE	The Buckle, Inc.	Apparel Retail	2.69B
BKH	Black Hills Corporation	Utilities - Regulated Gas	5.56B
BKHA	Black Hawk Acquisition Corporation	Shell Companies	47.60M
BKKT	Bakkt, Inc.	Software - Infrastructure	360.76M
BKNG	Booking Holdings Inc.	Travel Services	134.27B
BKR	Baker Hughes Company	Oil & Gas Equipment & Services	64.49B
BKSY	BlackSky Technology Inc.	Specialty Business Services	677.28M
BKTI	BK Technologies Corporation	Communication Equipment	325.04M
BKU	BankUnited, Inc.	Banks - Regional	3.46B
BKV	BKV Corporation	Oil & Gas Exploration & Production	3.20B
BKYI	BIO-key International, Inc.	Security & Protection Services	6.86M
BL	BlackLine, Inc.	Software - Application	2.10B
BLBD	Blue Bird Corporation	Farm & Heavy Construction Machinery	1.84B
BLCO	Bausch + Lomb Corporation	Medical Instruments & Supplies	6.48B
BLD	TopBuild Corp.	Engineering & Construction	12.55B
BLDP	Ballard Power Systems Inc.	Electrical Equipment & Parts	646.17M
BLDR	Builders FirstSource, Inc.	Building Products & Equipment	11.54B
BLFS	BioLife Solutions, Inc.	Medical Instruments & Supplies	1.17B
BLFY	Blue Foundry Bancorp	Banks - Regional	273.63M
BLIN	Bridgeline Digital, Inc.	Software - Infrastructure	11.22M
BLIV	BeLive Holdings	Software - Application	34.66M
BLK	BlackRock, Inc.	Asset Management	173.47B
BLKB	Blackbaud, Inc.	Software - Application	2.20B
BLLN	BillionToOne, Inc.	Diagnostics & Research	3.49B
BLMN	Bloomin' Brands, Inc.	Restaurants	521.53M
BLND	Blend Labs, Inc.	Software - Application	436.37M
BLNE	Beeline Holdings, Inc.	Mortgage Finance	79.35M
BLNK	Blink Charging Co.	Engineering & Construction	93.40M
BLRK	Bluerock Acquisition Corp.	Shell Companies	227.24M
BLRX	BioLineRx Ltd.	Biotechnology	12.49M
BLSH	Bullish	Software - Infrastructure	4.73B
BLTE	Belite Bio, Inc	Biotechnology	7.14B
BLUW	Blue Water Acquisition Corp. III	Shell Companies	334.06M
BLX	Banco Latinoamericano de Comercio Exterior, S. A.	Banks - Regional	1.86B
BLZE	Backblaze, Inc.	Software - Infrastructure	220.73M
BLZR	Trailblazer Acquisition Corp.	Shell Companies	345.47M
BMA	Banco Macro S.A.	Banks - Regional	5.06B
BMBL	Bumble Inc.	Internet Content & Information	457.68M
BMEA	Biomea Fusion, Inc.	Biotechnology	96.86M
BMGL	Basel Medical Group Ltd	Medical Care Facilities	11.28M
BMHL	Bluemount Holdings Limited	Capital Markets	95.70M
BMI	Badger Meter, Inc.	Scientific & Technical Instruments	4.45B
BMM	Blue Moon Metals Inc.	Other	409.18M
BMNR	Bitmine Immersion Technologies, Inc.	Capital Markets	8.63B
BMO	Bank of Montreal	Banks - Diversified	101.66B
BMR	Beamr Imaging Ltd.	Software - Application	25.62M
BMRA	Biomerica, Inc.	Medical Devices	6.28M
BMRC	Bank of Marin Bancorp	Banks - Regional	397.03M
BMRN	BioMarin Pharmaceutical Inc.	Biotechnology	11.87B
BMY	Bristol-Myers Squibb Company	Drug Manufacturers - General	127.01B
BN	Brookfield Corporation	Asset Management	98.46B
BNAI	Brand Engagement Network, Inc.	Software - Infrastructure	208.16M
BNBX	BNB Plus Corp.	Asset Management	3.84M
BNC	CEA Industries Inc.	Farm & Heavy Construction Machinery	150.70M
BNED	Barnes & Noble Education, Inc.	Specialty Retail	296.65M
BNGO	Bionano Genomics, Inc.	Medical Instruments & Supplies	11.70M
BNKK	Bonk, Inc.	Asset Management	20.51M
BNL	Broadstone Net Lease, Inc.	REIT - Diversified	3.87B
BNR	Burning Rock Biotech Limited	Diagnostics & Research	278.10M
BNRG	Brenmiller Energy Ltd	Utilities - Renewable	1.87M
BNS	The Bank of Nova Scotia	Banks - Diversified	93.53B
BNT	Brookfield Wealth Solutions Ltd.	Insurance - Diversified	13.67B
BNTC	Benitec Biopharma Inc.	Biotechnology	373.38M
BNTX	BioNTech SE	Biotechnology	27.66B
BNZI	Banzai International, Inc.	Software - Application	16.51M
BOBS	Bob's Discount Furniture, Inc.	Furnishings, Fixtures & Appliances	2.77B
BOC	Boston Omaha Corporation	Conglomerates	388.45M
BODI	The Beachbody Company, Inc.	Internet Content & Information	49.33M
BOF	BranchOut Food Inc.	Packaged Foods	64.44M
BOH	Bank of Hawaii Corporation	Banks - Regional	3.00B
BOKF	BOK Financial Corporation	Banks - Regional	7.63B
BOLD	Boundless Bio, Inc.	Biotechnology	25.97M
BOLT	Bolt Biotherapeutics, Inc.	Biotechnology	8.68M
BON	Bon Natural Life Limited	Specialty Chemicals	10.49M
BOOM	DMC Global Inc.	Conglomerates	120.66M
BOOT	Boot Barn Holdings, Inc.	Apparel Retail	5.76B
BORR	Borr Drilling Limited	Oil & Gas Drilling	1.88B
BOSC	B.O.S. Better Online Solutions Ltd.	Communication Equipment	28.33M
BOTJ	Bank of the James Financial Group, Inc.	Banks - Regional	90.50M
BOW	Bowhead Specialty Holdings Inc.	Insurance - Property & Casualty	830.40M
BOX	Box, Inc.	Software - Infrastructure	3.37B
BOXL	Boxlight Corporation	Consumer Electronics	1.28M
BP	BP p.l.c.	Oil & Gas Integrated	98.80B
BPAC	Blueport Acquisition Ltd	Shell Companies	73.85M
BPOP	Popular, Inc.	Banks - Regional	8.90B
BPRN	Princeton Bancorp, Inc.	Banks - Regional	229.84M
BQ	Boqii Holding Limited	Specialty Retail	4.08M
BR	Broadridge Financial Solutions, Inc.	Information Technology Services	21.70B
BRAG	Bragg Gaming Group Inc.	Gambling	43.11M
BRBI	BRBI BR Partners S.A.	Capital Markets	397.58M
BRBR	BellRing Brands, Inc.	Packaged Foods	2.16B
BRBS	Blue Ridge Bankshares, Inc.	Banks - Regional	357.37M
BRC	Brady Corporation	Security & Protection Services	4.36B
BRCB	Black Rock Coffee Bar, Inc.	Restaurants	667.74M
BRCC	BRC Inc.	Packaged Foods	156.43M
BRFH	Barfresh Food Group, Inc.	Beverages - Non-Alcoholic	42.96M
BRIA	BrilliA Inc	Apparel Retail	58.19M
BRID	Bridgford Foods Corporation	Packaged Foods	66.08M
BRK.A	Berkshire Hathaway Inc.	Insurance - Diversified	1.09T
BRK.B	Berkshire Hathaway Inc.	Insurance - Diversified	1.09T
BRKR	Bruker Corporation	Medical Devices	6.09B
BRLS	Borealis Foods Inc.	Packaged Foods	35.41M
BRLT	Brilliant Earth Group, Inc.	Luxury Goods	155.17M
BRN	Barnwell Industries, Inc.	Oil & Gas Exploration & Production	14.13M
BRNS	Barinthus Biotherapeutics plc	Biotechnology	23.85M
BRO	Brown & Brown, Inc.	Insurance Brokers	24.45B
